name,channel,ignored,version,latest_version,latest_upload_time,depended,notes,summary,home_url,dev_url,doc_url,license,direct_dep_count,direct_dep_names,depends_on_python,depends_on_nodejs,depends_on_perl,depends_on_ruby,depends_on_java,linux-64,linux-aarch64,linux-armv7l,linux-ppc64le,noarch,osx-64,osx-arm64,win-32,win-64,win-arm64
cvxopt,,False,,1.3.3,2026-03-13,statsmodels,,Convex optimization package,https://cvxopt.org,https://github.com/cvxopt/cvxopt,https://cvxopt.org/userguide,GPL-3.0-or-later,28,dsdp/fftw/glpk/gsl/libamd/libblas/libbtf/libcamd/libccolamd/libcholmod/libcolamd/libcxsparse/libgcc/libklu/liblapack/libldl/libparu/librbio/libspex/libspqr/libsuitesparseconfig/libumfpack/python/python_abi/suitesparse/ucrt/vc/vc14_runtime,True,False,False,False,False,True,True,False,True,False,True,True,False,True,False
cython,,True,,3.2.4,2026-01-05,,,The Cython compiler for writing C extensions for the Python language,http://www.cython.org/,https://github.com/cython/cython,https://docs.cython.org,Apache-2.0,8,libcxx/libgcc/libstdcxx/python/python_abi/ucrt/vc/vc14_runtime,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
cytoolz,,True,,1.1.0,2026-02-23,,,Cython implementation of Toolz. High performance functional utilities,https://github.com/pytoolz/cytoolz,https://github.com/pytoolz/cytoolz,https://pypi.python.org/pypi/cytoolz,BSD-3-Clause,7,libgcc/python/python_abi/toolz/ucrt/vc/vc14_runtime,True,False,False,False,False,True,True,False,True,False,True,True,True,True,False
dask,,True,,2026.3.0,2026-03-19,,,Parallel PyData with Task Scheduling,https://dask.org/,https://github.com/dask/dask,https://dask.org/,BSD-3-Clause,13,bokeh/cloudpickle/cytoolz/dask-core/distributed/jinja2/lz4/numpy/pandas/partd/pyarrow/python/toolz,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
datashader,,True,,0.19.0,2026-03-20,,,Data visualization toolchain based on aggregating into a grid,http://datashader.org,https://github.com/pyviz/datashader,http://datashader.org,BSD-3-Clause,13,colorcet/multipledispatch/numba/numpy/packaging/pandas/param/pyct/python/requests/scipy/toolz/xarray,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
dateparser,,True,,1.4.0,2026-03-26,,,Date parsing library designed to parse dates from HTML pages,https://github.com/scrapinghub/dateparser,,,BSD-3-Clause,9,convertdate/jdatetime/python/python-dateutil/pytz/regex/ruamel.yaml/tzlocal/umalqurra,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
dautilpy,,False,,0.2.0,2021-01-23,,,Data Analysis Utilities,https://github.com/ickc/dautil-py,,,BSD-3-Clause,1,python,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
decorator,,True,,5.2.1,2025-02-24,,,Decorators for Humans,https://github.com/micheles/decorator,,,BSD-2-Clause,1,python,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
defopt,,False,,7.0.0,2025-06-16,,,Effortless argument parser,https://github.com/anntzer/defopt,,,MIT,9,colorama/docutils/pypy3.6/pypy3.7/python/python_abi/sphinxcontrib-napoleon/typing_extensions/typing_inspect,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False
descartes,,True,,1.1.0,2024-12-19,,,Use geometric objects as matplotlib paths and patches,http://bitbucket.org/sgillies/descartes/,,,BSD-3-Clause,2,matplotlib-base/python,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
distributed,,True,,2026.3.0,2026-03-18,,,Distributed scheduler for Dask,http://distributed.readthedocs.io/en/latest/,https://github.com/dask/distributed,https://distributed.dask.org,BSD-3-Clause,23,click/cloudpickle/cytoolz/dask-core/futures/jinja2/locket/msgpack-python/packaging/psutil/pypy3.7/python/python_abi/pyyaml/setuptools/singledispatch/six/sortedcontainers/tblib/toolz/tornado/urllib3/zict,True,False,False,False,False,True,True,False,True,True,True,True,True,True,False
emcee,,False,,3.1.6,2017-03-29,,,The Python ensemble sampling toolkit for MCMC,https://emcee.readthedocs.io,https://github.com/dfm/emcee,,MIT,2,numpy/python,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
ephem,,False,,4.2.1,2017-05-05,,,Basic astronomical computations for Python,http://rhodesmill.org/pyephem/,https://github.com/brandon-rhodes/pyephem,http://rhodesmill.org/pyephem/,MIT,1,python,True,False,False,False,False,True,True,False,True,False,True,True,True,True,False
fastcluster,,False,,1.3.0,2025-08-30,seaborn,,Fast hierarchical clustering routines for R and Python.,http://danifold.net/fastcluster.html,https://github.com/dmuellner/fastcluster,https://github.com/dmuellner/fastcluster/raw/master/docs/fastcluster.pdf,BSD-2-Clause,9,libcxx/libgcc/libstdcxx/numpy/python/python_abi/ucrt/vc/vc14_runtime,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False
